key,category,requested_paths,status
00000000fbf4f3057f9778fa,Signs,Signs/Tag_26.png,No selected unchanged file passed this curation
0000000066672c471aafe15b,Signs,Signs/Tag_27.png,No selected unchanged file passed this curation
00000000cda54e889a97916f,Signs,Signs/Tag_28.png,No selected unchanged file passed this curation
00000000be2cbcb5f51318f0,Signs,Signs/Tag_29.png,No selected unchanged file passed this curation
00000000cf4c743cbefec990,Signs,Signs/Hotel.png,No selected unchanged file passed this curation
00000000b61384c3f3f8e96e,Signs,Signs/Plummet_1.png,No selected unchanged file passed this curation
00000000d82211378a037bee,Signs,Signs/Plummet_2.png,No selected unchanged file passed this curation
00000000395cc37f15fc7766,Signs,Signs/Plummet_3.png,No selected unchanged file passed this curation
000000005ed05d61aa31fa8f,Signs,Signs/Redwood_Jr.png,No selected unchanged file passed this curation
0000000038d9b2b3d73fef7a,Signs,Signs/Redwood_Jr_2.png,No selected unchanged file passed this curation
00000000885f7c730caa6db9,Signs,Signs/Music.png | Signs/Verdi.png,No selected unchanged file passed this curation
00000000fc02df150959bb4c,Signs,Signs/Music2.png,No selected unchanged file passed this curation
00000000cf052ebc2c184ead,Signs,Signs/Electric_Blvd.png,No selected unchanged file passed this curation
000000001792a12c196af499,Signs,Signs/VRock.png,No selected unchanged file passed this curation
000000005d8ce8e67c6d080a,Signs,Signs/TUME.png,No selected unchanged file passed this curation
000000004910beba8ebadae9,Signs,Signs/Sunshine_Autos_1.png,No selected unchanged file passed this curation
0000000057a161f7af406b75,Signs,Signs/Sunshine_Autos_2.png,No selected unchanged file passed this curation
000000005b26b47303fa22c3,Signs,Signs/Sunshine_Autos_3.png,No selected unchanged file passed this curation
00000000e990da59f967f7d7,Signs,Signs/Sunshine_Autos_4.png,No selected unchanged file passed this curation
00000000ac320f0893b43b1d,Signs,Signs/Mad_Donnas.png,No selected unchanged file passed this curation
0000000049e5c25a82022276,Signs,Signs/Stonewall_Js.png,No selected unchanged file passed this curation
00000000af1a62ee107b1ab6,Signs,Signs/Hardcore_Pawn.png,No selected unchanged file passed this curation
000000008526f4147e19fa3a,Signs,Signs/Burger_Off.png,No selected unchanged file passed this curation
00000000b648d8b4d7b4051e,Signs,Signs/Kronos_TWatch.png,No selected unchanged file passed this curation
00000000df8ea749691d56f0,Signs,Signs/TJA_AIR_1.png,No selected unchanged file passed this curation
00000000a72f38138d502efd,Signs,Signs/TJA_AIR_2.png,No selected unchanged file passed this curation
000000004895e681cf2b3196,Signs,Signs/Page_3.png,No selected unchanged file passed this curation
00000000abe358f0f7ea490f,Signs,Signs/Bennys_Hotel.png,No selected unchanged file passed this curation
000000009434ced6f2440037,Signs,Signs/Beachcomber_Hotel.png,No selected unchanged file passed this curation
00000000684b6ee13f11f0f0,Signs,Signs/FIDL.png,No selected unchanged file passed this curation
000000007011bd001d399118,Signs,Signs/KLUNT.png,No selected unchanged file passed this curation
000000005416820d9adb3cbb,Signs,Signs/Mai_Viento.png,No selected unchanged file passed this curation
0000000000ff35f6deb0100d,Signs,Signs/Old_Amsterdam.png,No selected unchanged file passed this curation
000000007003577ae9678f54,Signs,Signs/Greasy_Chopper.png,No selected unchanged file passed this curation
00000000bcfd233db9b6f611,Signs,Signs/Pons.png,No selected unchanged file passed this curation
00000000336b22e80a53cc25,Signs,Signs/Nalgas.png,No selected unchanged file passed this curation
00000000d39c08adefefe90f,Signs,Signs/Gorilla_Salad.png,No selected unchanged file passed this curation
00000000bfd56337d06c8013,Signs,Signs/Barzinis.png,No selected unchanged file passed this curation
000000001922d73b570e31dd,Signs,Signs/Crocketts.png,No selected unchanged file passed this curation
00000000d7f2dc364eb427ab,Signs,Signs/Glynnis.png,No selected unchanged file passed this curation
00000000d1cd6464a99286d0,Signs,Signs/Sole_Man.png,No selected unchanged file passed this curation
000000005b92e745dbd5d975,Signs,Signs/Kronos.png,No selected unchanged file passed this curation
00000000face62d3ad50477d,Signs,Signs/Special_Fried_Vice.png,No selected unchanged file passed this curation
0000000084da85e3e3a1f8f1,Signs,Signs/Curve.png,No selected unchanged file passed this curation
00000000b8bc2474c0eb1999,Signs,Signs/Hermit.png,No selected unchanged file passed this curation
00000000e5cd74cfc398cf66,Signs,Signs/Clintz.png,No selected unchanged file passed this curation
00000000c1eaed51d8fa16d8,Signs,Signs/Needle_Trax.png,No selected unchanged file passed this curation
00000000fc5c94f2bbeb1ca1,Signs,Signs/VC_Port_Authority.png,No selected unchanged file passed this curation
00000000110a813cc145d2d5,Signs,Signs/Liquor.png,No selected unchanged file passed this curation
000000002dae2b354060ac1b,Signs,Signs/Boleros.png,No selected unchanged file passed this curation
00000000398629a7255192cc,Signs,Signs/libre_Havana.png,No selected unchanged file passed this curation
000000004f53a4fafae4b6f9,Signs,Signs/Cucaracha.png | Signs/Carioca.png,No selected unchanged file passed this curation
00000000d1132423b8b902d1,Signs,Signs/Guanos.png,No selected unchanged file passed this curation
0000000020794f8355c4d175,Signs,Signs/Final_Build.png,No selected unchanged file passed this curation
00000000c7b1dd419cdc7044,Signs,Signs/Bridge_Closed_1.png,No selected unchanged file passed this curation
000000004f4546f94cb3ab8f,Signs,Signs/Bridge_Closed_2.png,No selected unchanged file passed this curation
